text,intent
"Grandma is not very old, she has epilepsy, and her family hired a nanny to take care of her. Usually, when she does not have seizures, it is very normal, and there is no sick person at all. But recently, I have frequent seizures, Miscellaneous? Epilepsy often occurs, what medicine should I take?",ask more
"I'm 28 eld old. Lately, iodin feel that there is an extra piece of flesh in the genitals. It is not painful or itchy. Is it testicular cancer?",disease manifestations
Hello doctor! I want to ask if I can get a ventricular pre-excitation <A> i sometimes have chest pains. bum that be treated?,treatment method
my 2year old son has had a dry cough and a runny nose since thursday . he's not talking yet so it is difficult to tell if he has any trouble breathing so i'm concerned. he does not have temperature ?,disease manifestations
Rectal adenocarcinoma is moderately differentiated and has no lymph node metastasis. Is there any Chinese medicine for adjuvant therapy?,treatment
"Babies has diarrhea at 9 months, more than fourteen times a day. amp little cough and runny nose",symptoms
Stomach pain and discomfort,cause
"The child has been on a hanging needle for a week, and the stomach still hurts. What's the matter?",treatment method
Is glucose considered a supplement? I usually add glucose instead of sugar to children's water and milk. Does this help children absorb more?,ask more
"Every night when I sleep, my brain recollect about things, and I feel a little tight in the half-sleep and half-awake express",cause
My mother was injected with insulin during the hospitalization. Can she quit take the injection after she's discharged from the hospital and behaviours two tablet of Glucopine each moment?,usage
30 years old. Often has dry mouth and tongue and sometimes nausea,disease manifestations
What is ascent aneurysm aneurysm?,definition
"Excuse me, venous edema, can I take aescin sodium tablets?",applicable disease
"Excuse me, what medicine do you take for your menstrual flow?",applicable disease
stool is pitch-dark,disease manifestations
"I am 45 years old, and I have been suffering from insomnia and forgetfulness recently. I have poor sleep quality for a long time. I always sleep lightly.",treatment
"Hello, is there a medicine for acute cystitis? Thank you",applicable disease
What should I do if I can't sleep in the middle of the night in the early stages of pregnancy? Is this a pregnancy syndrome? What can I do?,ask more
Will the apply of gynecological drugs in early pregnancy affect the fetus?,ask more
bathroom Lingtai treat hemorrhoids,applicable disease
Excuse me if this is pure leucorrhea or leucorrhea with shuffle semen,definition
"The pain in the right upper quadrant has lasted for more than a week, but now there is no way to relieve it, and there is a trend of increasing pain, I don't know what to do, what is causing the pain in the right upper quadrant What? How can we effectively relieve the pain?",symptoms
"The baby was born at 37 weeks, and now the baby is four days old. Check the baby's bilirubin 226. The hospital said that he must be hospitalized and illuminated with blue light. Is this serious? Will it disappear, is that so?",treatment
i've been having the same symptoms as for corona virus. i've had them coming along slowly for 1 week now. i haven't had direct contact with someone who has travelled overseas but i'm worried i've had indirect contact. should i get tested?,method
What should be yield beware to in daily life of subacute epidural hematoma,method
manage Weston Risperidone Tablets want to be stored in a low-temperature icebox?,usage
"Chronic hemorrhoids, with a sitz bath habit, mixed hemorrhoids, secretions from the anus. How to treat?",treatment
"I have been conduct aripiprazole tablets for a month, and I feel much better. I wonder if I can reduce the dose to five mg?",applicable disease
"I went to the hospitals for a checkup, and they said my blood bread was too high, so maven direct a few quenching pills. 2 wanted to ask, is it a ratify of diabetic?",definition
Can Vasotec and telmisartan be studied together?,usage
"my mother has cre/resistant klebsiella pnuemoneae(excuse the spelling) she is allergic to most antibiotics,sulfa, & penicillin. she has been treated five times obviouly they haven t worked in full! she easily goes anaphylactic! mid way through treatments. last trtmt. was 7 days ago. 1st day , iv ertapenem 1mg and litocane, prior to trtmt. she premeds w/ 50 mgs oral benedryl,1 hour cooktime prior ttrtmt.there was to be an additional 9 doses im and on 6th dose went into shock. she is being readmitted in a.m. for another attempt she is trying oral doses of colodial silver. help what to do? how long can this go on before she dies? what are the symptoms of death dur to cre?",disease manifestations
What's with the caning on the penis?,symptoms
What is the best hospital for epilepsy treatment in Kunming? The old man from the small shop in front of our house has epilepsy. I heard that it is an old disease for many years. My neighbor Xiaoqian saw him have a seizure. It is said to be especially terrifying. Sometimes he comes out to play with drugs for epilepsy. What should we pay attention to in the treatment of epilepsy?,ask more
What is uterine vigorous billet?,definition
jell neurofibromatosis require surgery?,method
"let high-risk behavior 5 weeks ago, may I ask the doctor if the white Zen on the lower end of the penis are condyloma acuminatum?",disease manifestations
"How to take compound zinc cloth granules for a 2-year-old baby weighing 15 kg, how to take compound zinc cloth granules for a one-year-old baby weighing 15 kg",usage
"Left ventricular diastole is slow, myocardial ischemia, what kind of drugs can be direct in this situation?",treatment method
"My child has a hemangioma on the hindquarters, what should 1 do? The caliber is 7.8.6cm, a benign hemangioma, and it did not be a year previous. Is the hemangioma ontogeny on the buttocks of toddlers in Internal Mongolia, is it dangerous?",method
"After taking Niuhuang Qingxin Pill, the headache is no longer painful. Is there any better medicine to treat this symptom?",applicable disease
"Hello! I suffered from transient cerebral ischemia a year ago, and now I have been taking aspirin and simvastatin. The doctor said that the prevention of cerebral thrombosis cannot be stopped. Excuse me, can my wife get pregnant? Is there any effect on the fetus? How to avoid side effects if I want to get pregnant? Thank you!",ask more
What are the conditions for taking calcium gluconate? What indications belong to calcium gluconate?,applicable disease
"I feel that the brain is deprived of oxygen, does this also happen to my age?",ask more
"Recurrence of genital herpes is patronize. tush Chinese medicine cure it completely? In 2013, the infection has not been cured. I apply some ointment every time I get sick, and I have never used other medicine.",treatment method
Can Chinese medicine cure brain hemangioma,treatment
"Howdy, can Astragalus injection be engage together with Shenmai injection?",usage
"Hello! I am a coal miner, and I oftentimes have stand strain lately, but it can be relieved with a meal or a scorching water pack",definition
Is Wenxin Granule suitable for inducing premature beats and heart disease?,applicable disease
at what temperature range (external temperature) will the covid-19 virus be destroyed? this in relation to (restaurants) cooking food and safety. what does covid stand for?,definition
What is the morbid of a presynaptic compression,definition
What is the cause of triglycerides?,cause
"Hello Dr. Dong, I have fractured the 234 metatarsal bone in my right foot for five months and some have not healed. What's the matter?",disease manifestations
"Bengbu Epilepsy Clinic?? My father suffers from epilepsy, but 1 don't have it. I have been married for many years and have not defy to have children because of genetic gene. so, what are the guidelines for the treatment of epilepsy",ask more
Someone in my family was diagnosed with schizophrenia not long ago and wants to control it with medication. Is the price of ziprasidone hydrochloride tablets expensive? Is it okay to buy it according to the course of treatment?,method
What is gastrointestinal pleural effusion?,definition
"Some time ago, I was always drinking, and I felt angina pectoris after drinking. I still feel short of breath for the past two days, and my heartbeat is very fast. I went to the hospital for examination and said it was sudden acute myocardial crisis. want to know the emergency response of recurrent acute myocardial infarction. What are the limits?",treatment method
"Excuse me, how can I treat brook cramps when I'm nervous?",treatment method
"Hello doctor, I want to ask what is the flunarizine hydrochloride capsule? How many times a day should I take?",usage
"Excuse me, how to treat mycotic vaginitis with yellow vaginal discharge?",treatment
"I'm also 28 years honest-to-goodness, and my timeframe are flummox less and fewest. This month is only two days,",disease manifestations
daughter turned 1 yr on 20 march. fever above 38 deg celsius in the last couple months we alternated between 5ml nurofen and 125mg empaped (paracetamol) suppository every 4 hours till temp broke. is nurofen safe now regarding ibuprofen and covid19?,usage
How to treat esophageal cancer,treatment method
What to do with blood in the stool and what medicine to accept a lot,treatment method
"Hello, I would like to ask, my child is two years old and three months old, and now he has some vomiting, no diarrhea, no fever, no inflammation in the blood test, can I take this Simo Tang oral liquid?",applicable disease
"Ceftriaxone sodium for infusion, can I take clarithromycin capsules at the same time?",usage
I was found to have genital warts at the beginning of the month. Is there any other more effective treatment besides surgery?,method
"I am 42 years old and my body has always been fine. After I woke up this morning, I always felt that it was difficult to breathe, especially uncomfortable. It was said to be blocked airway. I would like to ask what happens to the blocked airway. ?",disease manifestations
I can't sleep at night and always think about it. What should single do? It must be because I am about to contribute birth.,treatment method
What's the matter with the leg cramping at soir? The calf cramps almost every day at night. serve any mother know what is loss on?,symptoms
What medicine study for a small penis,applicable disease
Whether tenosynovial fibroma will recur after surgery and how to treat it,treatment method
What are the symptoms of hemorrhoids?,symptoms
What should I do if my seven born and a half month old baby has diarrhea?,treatment method
Quoi does prolapse of haemorrhoid hateful?,definition
"It's been more than a month since hemorrhoid surgery, why is there a flake of astringency around the anus?",cause
Can yin deficiency and blood heat infusion be treated? Can glucose be infused? Can glucose be infused for a long time?,ask more
"Excuse me, do you have to takings methimazole tablets to relieve hyperthyroidism? But this medicine will cause you fat again.",method
"iodin make high blood pressure medicine every day, and another doctor prescribed colchicine to treat my gout today. Will these two medicines conflict?:",applicable disease
"Hello, can I take the Anshen Capsules off and occupying them with water? Will it affect the medicinal properties?",usage
"I am 45 years quondam, and I have been suffering from insomnia and forgetfulness recently. I have poor sleep quality for a long time. I forever sleep lightly.",treatment
"Beginning in May this annum, part of the blue eyelashes of the mighty eye commenced to turn white, and they continued to growth, and fleck appeared on the back of the hand and neck, but the developments promptness was very slow",symptoms
"I have been controlling my blood sugar very well, but I feel that my blood pressure is a little high recently. I want to take some medicine to control it. Can I take nifedipine extended-release tablets in a situation like me?",applicable disease
"My child is 8 months old and has a congenital capillary hemangioma. helium has seen a doc in Hubei and Shanghai successively, but there is no treatment effectuate. This year, the protruding rise of the hemangioma is more obvious. The danger of hemangioma ass the ear of infants in Inner Mongolia Is it big?",disease manifestations
What should iodine do if the baby who is more than one month has loose stool,treatment method
How to take Oolong Yangxue Capsules? How many boxes for a course of treatment?,usage
What to do with patient with cerebral infarction?,method
"Cerebral thrombosis, but I've been discharged from the hospital. The doctor suggested that I last abode to recuperate, but now one only ate a little dining and a few spoonfuls every day. I'll instill nourishment solution in the hospital, but I have bowel movements. What's depart on?",disease manifestations
do i have covid 19?,definition
"Hello doctor, may I ask, can your Wenxin Granules cure the stuffiness and tingling in the middle caused by staying up belated?",applicable disease
What's the divergence between heart assault and palpitations,definition
"I would like to involve, is oral glucose useful when blood pressure is low?",method
"Fuyang Epilepsy Specialist Hospital?? My deskmate suddenly flow to the ground during strong-arm tuition forms, and his mitt and feet sustain twitching. Later I regain out that he had epilepsy and had been carry medicines. But it traditionally happens, and I wake up inexplicably at night.",definition
Does mirtazapine need to be get long-term?,usage
"Hello doctor, it has been 7-8 days since the abortion, and there is still a lot of blood. I saw the doctor and said to rest, and I will have an ultrasound in a week. No other medicine was prescribed, and no abnormality was found in the ultrasound. The small pain is like falling during menstruation, what should I do if I bleed like this every day?",symptoms
"What is the function of Jianpi Huaji Oral Liquid, who is it suitable for, and how to acquire it",ask more
what symptoms should i look out for in the novel coronavirus pandemic?,symptoms
Causes of nausea in newborns,cause
How can I cure mild external hemorrhoids?,treatment method
"The treatment of epilepsy is a long-term process, and the treatment of epilepsy has a lot to do with the condition of epilepsy. Epilepsy dietary care is as important as epilepsy treatment, and epilepsy treatment cannot be ignored. Then epilepsy dietary care has some what",method
where can i get tested for covid19? and will discovery pay for the test?,ask more
"Hello, can Zofrisperidone be used to treat chronic schizophrenia?",applicable disease
"Hello, 1 would like to ask if the drug lorazepam is good for you, doctor? If potential, I hope I can buy some",applicable disease
What is the morbid of presynaptic compression,definition
Urinary pain at the end of urination,symptoms
I have been feeling unwell recently. Chest tightness. Nausea and vomiting. I went to the hospital for an examination and said it was an acute myocardial infarction. I would like to know what are the treatments for acute myocardial infarction?,treatment
"Hello, doctor, may I ask what medicine should I take for enlarged prostate, frequent urination, etc.? Thank you",applicable disease
"I got pregnant while breastfeeding, what should I do?",treatment method
"Someone in the family is mentally ill, can I take it by myself?",applicable disease
What is noetic frailty?,definition
How retentive does venlafaxine hydrochloride extended-release capsules final?,usage
what to eat for angina,treatment
"I had allergic asthma a long time ago, and it happens every year around this time, what should I do?",treatment method
What's the matter with intrapericardial bleed?,definition
does a virus cause lesions dry and oily nose,disease manifestations
A lot of runny nuzzle and sneezing,treatment method
"Vocal cord overcrowding, can Andrographolide flatten Pills and Golden Voice Clearing Pills be taken at the same time?",usage
"The babe has a fever after the pneumonia vaccine. perish to the hospital to infirmity the throat. The blood and bianco iine cells are a little supreme at thirty-one. Now there's no fever. If the baby eats cefixime granules, how much should the baby eat at a time?",usage
"A week ago iodin departing to auditing for a urinary tract infection and unity had an injection drip for trio day, and then I did not feel any discomfort. The doctor surmise a mycoplasma infection on a test canvas, and now I've a vaginal itching after my menstrual menses is prune. What's the matter?",symptoms
Elderly people with idiopathic tinnitus are claim sibilin. I'd like to ask how to exact it. How multiple weeks is a course of processing?,usage
What is the screening method for cervical cancer,treatment method
"Excuse me, how should I take conjugated estrogen (Hong Lilai) if the ovary secretes less estrogen? According to the instructions, it is 0.3mg, so how should I take 0.3mg? Hurry up~",usage
Can chemotherapy be cured after resection of rectal malignant tumor? What should I pay attention to?,ask more
"Running around when there is a lump in the left chest when rubbing it, please help a doctor who knows what's going on",disease manifestations
"my friend suffers from diagnosed bronchiectias and gets pneumonia constantly. she is 72 each time they give her antibotics for a week and then the xray will show the pneumonia gone, however, it contantly returns. she has been to mayo, iowa city had many test. it's beginning to take a toll on her. i would say she had pneumonia about 6 times last year and so far 2 or 3 this year. any suggestions",symptoms
"Excuse me, why did I find that my vaginal discharge is yellow and my downhearted agency is itchy today?",disease manifestations
My brother felt a little uncomfortable a few days ago. My brother went to the hospital for an examination. The doctor said that he had interstitial pneumonia. What will happen to the interstitial pneumonia?,disease manifestations
"Hello! If the wound is large or deep, disinfect it with alcohol?, iodine? Or use iodophor?.",disease manifestations
"In the treatment of epilepsy, what drugs are effective? Drugs to cure epilepsy are the safest and most reliable treatment methods at present. There are many drugs on the market, but epilepsy patients do not know how to choose",usage
"Bleeding in tourniquet for more than six eld, want to ask how to treat internal and external hemorrhoids?",method
What happen to the intracranial arachnoid cyst?,cause
"I am a hypertensive patient. I have used it a lot but it is not effective. I heard from my friends that using Bisoprolol Fumarate Tablets (Kangxin) will have good results, right?",treatment
"Everyone knows that epilepsy can cause great harm to patients. For children, these injuries cannot be ignored and should be treated in time. So what are the early symptoms of epilepsy in children?",symptoms
What should I do if there is white dismissal in the urethra,treatment method
What to do with lower limb cramps in the middle of the night? Is there any way to prevent it?,ask more
"I have a small-scale pimple on the top of my urethra. ane defendant that I have condyloma acuminatum. I am only a exercise worker, so I dare not go to the hospital. I want to ask you what to do with condyloma acuminatum?",method
"ureteral calculi, after surgery, there is a residual stone in the ureter, and there is still water in the kidney, which is probably related to this calculus. I hope it can be cured by taking some medicine.",treatment
"I am also 22 years old, and my periods are getting less and less. This month is only two days,",disease manifestations
My family has been suffering from philia disease for 5 or 6 years. Would you like to buy some Qili Qiangxin capsules to amend it?,applicable disease
"How to treat condyloma acuminatum female patients? There are not many condyloma acuminatum in the urethra. I have had a laser once, but it grows again, and it is still in the urethra. Many people say that the laser can't be cured. .So can traditional Chinese medicine cure condyloma acuminatum? I don't want laser treatment anymore?",ask more
Is there any instruction on the usage and dosage of Qianggu Shengxue Oral Liquid?,usage
Can Nuanwei Shule Tablets and 999 Ganmao Granules be taken together?,usage
The lumbar disc hurts so much that I can't move. Now I plan to buy some medicine and take it back. It's better if an expert recommends it for me,treatment
"I can't concentrate, my brain is constantly thinking about it, and I want to ask what medicine is better for treatment?",treatment method
"afterwards I belong out to theatrical with my menage two weeks ago, unity chance that my body commencement to displaying assorted symptoms. When I proceed to the hospital, the regain asked what I corrode freshly, the symptoms I had recently, and then I had a routine examination. Diagnosed with sharp myocardial infarction, want to cognize what the diagnostic criteria for knifelike myocardial infarction are?",definition
"There are some undisclosed particles growth on the scrotum, is this condyloma acuminatum?",definition
"I want to know about Simo Decoction Oral smooth, may the elderly drink it",usage
"Are there any mothers who can't sleep, what should I do if I have severe insomnia in the third trimester of pregnancy? Is there any good way to improve this situation?",treatment
"Hemangioma. Do you need to use so many traditional Chinese medicines? How to prepare them? Where can I buy the prepared ones? Can the hemangioma on my child's hand be cured with Chinese medicine? , What is the best way to treat the hemangioma on the hands of infants in Inner Mongolia?",applicable disease
The child is over two years one-time and has frequent prematurely atrial contraction. The physician stipulated Xinganbao abridgment. The child was bring spleen aminopeptide before. Now I do not recognise if the two medicate can be taken together,usage
What increases the incidence of breast cancer,cause
"hello doctor, i am copd patient. i was taken a vaccine called pneumo 23 almost 4years and 8months ago. the doctor advised me to take the vaccine once in every 5 years. but before the completion of 5 year i am diagnosed with pneumonia. what should i do? should i take the vaccine before the completion of 5 year period? please advise.",ask more
symbolise a lung tumor a lung cancer what's a lung tumor,definition
i am getting headache at night. been battling with a sore throat and post nasal drip. no fever. cough only slightly at times. i went for laproscope and removal of my fallopian tubes on 2nd march. all this started after that. must i test for covid 1o?,method
What are the symptoms during pregnancy?,ask more
"There are phantom in the lungs, what is this disease?",cause
Why does a healthy body have premature beats?,cause
will my mask from sherwin williams paint store with filters protect me from corona virus along with paint fumes?,usage
"Have high-risk behavior 5 weeks ago, may I need the doctor if the white dots on the lower cease of the penis are condyloma acuminatum?",disease manifestations
How to control rectal prolapse,treatment method
"I would like to ask. For the symptoms of palpitations, shortness of breath and palpitation, is you taking Baizi Yangxin Pills effective?",ask more
"Excuse me, what should I do if my menstrual cramps are terrible?",treatment
"ampere month ago, there were two petit succulent particle in the anus. immediately the number has heightened, the texture is intemperate, and it's not painful or itchy. body it condyloma acuminatum?",definition
Can diabetics use Tripterygium wilfordii tab to treating arthritis?,method
"The arm is swollen. The doctor in the hospital said it was caused by a hemangioma. What department should I go to?, How to treat a newborn baby with hemangioma in Inner Mongolia?",treatment method
"Urine tingling, endless urination, yangyang, little by little, just after urinating, I want to urinate for a while,",cause
How to regulate constipation in childrenHow to regulate constipation in children,treatment
"Hello doctor, I would like to expect how Nitrendipine is used to treat high blood pressure",applicable disease
How long does it take to treat mycotic vaginitis?,usage
Does the manual say anything about the usage and dosage of Xianling Gubao Tablets?,usage
Congenital rectal leakage in children? Newborn babies have a small cakehole in their anus.,symptoms
How to treat liver cancer metastasis honest,treatment method
Can Dried Mud Capsules be contract with high blood pressure drugs and glucosamine at the same time?,usage
"What's the matter with frequent urination recently, and every time I urinate less, I feel very uncomfortable in my lower body after urinating",cause
"Bleeding in the stool, thought it was hemorrhoids, often eating spicy food and drinking strong alcohol, the examination showed that the bleeding was caused by anal fistula, what caused it? How to treat it?",ask more
"My son has congenital heart disease, is it okay to take Qili Qiangxin Capsules?",applicable disease
What is good to eat with low blood pressure and perhaps what kind of milk should I drink,treatment method
What should I do if my brain is in a coma?,treatment
"Hello doctor, can Huatuo Zaizou Pill cure kernel disease?",applicable disease
"Hello, I would like to ask if I can demand norfloxacin for urinary tract infection?",applicable disease
What is the effect of Shufeng Dingtong Pill in treating rheumatic joint pain?,applicable disease
"What are the symptoms of 1918 mal epilepsy? Everybody type of chronic ailments has seizure symptoms. lone by targets the symptoms can we make upright judgments, discover them in moment, and treat them. Then, the symptoms of august mal epilepsy have some symptoms. What do you believe is the issue that most people want to know.",symptoms
When is the best time to eat cod liver oil? My baby is just a month old and I want to give him some cod liver oil. I don't know if it's early.,usage
Hello! Can Jiawei Qing'e Pill be effective in preventing osteoporosis in middle-aged and elderly people?,applicable disease
"Sofiya in a rashness, how can you service me with cramps and diabetes?",method
"Hello, I had an abortion this afternoon. The doctor prescribed Shuangju Granules for me. I think it is for the general treatment of uterine fibroids. Can't it wait to eat before bleeding",applicable disease
"I need to inquired, I've frequent urination, acute intercourse, pain, dreams, and more secretions",disease manifestations
What to do about with open traumatic brain injury,treatment method
What is the causa of constipation in the elderly,cause
ever queasy now,symptoms
Can Yaotongning Capsule treat lumbar disc herniation and lumbar spinal stenosis? Help! Please answer! Thank you!,usage
"A month ago, the tike had a total cough and checked food intolerance and allergens. The intolerance showed wheat, milk, egg white, moderate intolerance, and no allergens. Later, he went home and avert food. It will be ticket in five or 6 days, but I have a cough in the past two days. It is not a frigidity. What should I do? How can one get better with food intolerance?",method
What is the reason for the child's late speech? Is it because his tidings is not up to stock or something is wrong with his tongue?Woolen cloth? ,cause
What is Proctoscopy?,method
Can rectal adenocarcinoma be cured? Can surgery survive?,ask more
"The baby's lip are a little purple after the cold, the nutrition is irregular, and the green cakes aren't pose better after two days. Mommy screw to eat it all the time... The doctor in the hospital told that there's no employment with the coeur, and the reparation in the inpatient department pronounce that the heart cannot be ruled out. There is a difficulty. I've to do a cardiovascular ultrasound with pneumonia. Prior the baby snatch cold, the lips are rosy, and after the frigidity, it turning purple. I am very concern about hypoxia, suspected of innate heart maladies",definition
"Hiya, do you need to function Astragalus Injection for a long time?",usage
Hello. Doctor. I would like to ask if there is any food for hypertensive people in Yasita,treatment
"Patient, I always feel sleepy. The examination shows that the sodium deficiency is serious. Recently, I have been supplementing with saline, but the sodium is still lacking, and it seems that it is not absorbed. How to deal with this situation? It is a disease caused by cerebral hemorrhage. If you keep infusion of saline, will it cause secondary rupture of blood vessels?",ask more
I have been addicted to smoking for more than ten years. Can I take bupropion hydrochloride sustained-release tablets to quit?,applicable disease
"Tetralogy of Fallot, pulmonary stenosis,",symptoms
unity recently read a study that people with diabetes are specifically prone to senile diabetic nephropathy in Archaic age. I wishing to savoir what're the symptoms of senile diabetic nephropathy?,symptoms
"Hello, I feel a little pain when urinating is well-nigh over, what medicine should I take?",treatment
What is normal pressure hydrocephalus in the elderly?,definition
"Hello, my mother is over 70 years old this year. The hospital checkup is lumbar vertebral hyperplasia, is it effective to use Qizheng Pain Relief Patch?",applicable disease
Can levator ani treat hemorrhoids?,treatment method
How to hurry discover angina? ,definition
Can endocrine disorders cause nausea,symptoms
What kind of medicine is most effective for stinging urine,treatment method
"Which is the expert abortion hospital? unity have had an miscarriage once, the first one was painless, and then the headache was not maintained. privy the second abortion constitute up for the headache. I have had a urinary tract infection. Current health confusion or condition description: urethral recurrence once treatment situation and expected treatment effect: the most important matter is to choose which kind of abortion and how to cure the headache of the initiatory abortion, ",ask more
Can I have hemorrhoid surgery after hemorrhoid surgery?,treatment
How effective is Glucosamine Sulfate Capsules in the treatment of secondary osteoarthritis?,applicable disease
"Hemorrhoids, not serious, prolapse, no bleeding, no pain or itching, how much does the injectant cost? How long does it postulate to heal? How is the affected region different after healing?",ask more
"A few years ago, I often had a stale and it was useless to take any medicine. What music is upright? Later, I had a severe cough and the sputum was not the normal tinge, but was yellow. I pass to the hospital to see a doctor and said that the bronchial tube Expansion, hospitalization, what is the Best medicine?",method
How to curative urethritis generals,method
"Babies have frequent premature atrial heartbeat, so using spleen aminopeptide and Xinganbao capsules doesn't work?",applicable disease
"There is no medical history, this is the first time, the doctor said that I have genital warts, and it also grows on the vagina. How to treat this situation?",treatment method
"What should I do if I dream and urinate more at night? I'm in the third trimester, and I always have to get up in the middle of the night to pee, and I always dream!",treatment
Is it routine for my baby to tongue up like this?,symptoms
What should I do if the anus falls out during bowel movements?,treatment method
Is it okay to use Betaloc for high blood pressure and heart rate 96?,usage
"Zaobo is not very good to eat Wenxin Granules, what kind of medicine should be added?",treatment
"The child has been complaining about abdomen and upper abdominal pain recently, and his appetite has not been very good recently. However, he is still in well spirits. When he eats, he always articulate that he can't burp. I want to live what's going on. Why does my tummy hurt? How to treat it?",ask more
"alibi me, what medicine should I take for tuberculosis, and what should I pay attention to?",ask more
How to deal with continuous attacks of angina pectoris,treatment method
"Excuse me, what's the matter with the painfulness in the left labia minora?",definition
What is Pediatric Viral Myocarditis?,definition
"I always wash my clothes repeatedly, but I don't wear them. As long as I come back from playing outside, I have white powder on my body from sorghum leaves. I suspect that people are spraying medicine. I take a shower and wash my clothes. I don't dare to put anything in the place where the medicine is left. What kind of disease is this?",definition
What is cardiac tamponade?,definition
How to treat bronchitis most effectively,treatment method
What disease does Nifedipine Sustained Release Tablet II mainly treat?,applicable disease
"Unsteady mind, sleepless nights, mind wandering all day, lack of energy, don't want to eat during the day, don't feel hungry, and always very sleepy",ask more
What should I do if there is a big soy swelling on the anus,treatment method
"Frequent urination, urgency, inexhaustible urination, what is the ground",cause
When will the foetus enter the basin?,ask more
"The child who has been more than 50 days has not had a bowel movement for several days, and is always farting",symptoms
are there additional risks associated with using too much ethyl 70% alcohol to sanitize hands other than dry skin? now a days i use it a lot due to corona virus concerns.,usage
"A few days ago, my throat was ignite, but unity have a lot of phlegm but I can't spit it out. Can I take Golden Throat Lozenges?",applicable disease
What should single do if I have hemorrhoids during pregnancy?,treatment method
"What's the difference? Do the two medicines have the same effect, and whether the effect lasts longer or brusk?",ask more
"how-do-you-do doctor, I suddenly detect a row of small particles on my labia in the by two days, a lump of flesh above the vaginal opening, smooth and voiced, and itching in the vulva. I haven't had intercourse for more than a month. Is it condyloma acuminatum?",disease manifestations
What should I do if I have COPD?,treatment method
"What should single do if a pregnant woman has a headache for ii months? I'm only two months pregnant, and single have been feeling a headache lately. What can you do, mothers?",treatment method
How about seeing a doctor in Andingmen Traditional Chinese Medicine Hospital?,ask more
"Excuse me, the erstwhile homo has bradycardia, is it helpful to eat this heart-stabilizing granule? Tell me if you know",applicable disease
What does heart throbbing mean,definition
"Suffering from mushroom vaginitis and employs clotrimazole vaginal suppository for treatment, should it be secondhand after menses? How many courses of medication are required?",usage
Does medulloblastoma want surgery,method
"Why do I feel premature beats, but the ECG rhythm is normal? What tests should be done?",ask more
What to do with the ulcer in the baby's verbalize,treatment
What to do if pregnant women get hemorrhoids,treatment
"Hello, how should Shugan Jieyu Capsule be taken correctly in the treatment of unipolar depression?",usage
"The kids was quadruplet years old in a motorcar accident and suffered a head injury. The medico said that he may have epilepsy. These days, he suddenly found that he was a petite abnormal, his present was pale, and he was sweating. single am anxious that the nightmare is culmination.",disease manifestations
"1 have high blood pressure, can't stand my feet, can't sit still, what medicine can I use to plow it? Can I add Angelica, Poria, and Ginseng to Chinese medicate?",ask more
Can a cyst in the brain cause body pain or no blood flow?,disease manifestations
"Hello, I had my period on August 10th, and it ended on the 17th. On the 22nd and 25th, I had a vaginal discharge, and on the 28th and 31st, I had the same room again. From the 27th to the 31st unity have mild abdominal botheration, and then I have frequent urination since the 1st. I have eat a plenty these days. I invariably want to sleep. I fell asleep in the car after act. My mouth is dry, my tongue is a lilliputian yellow, my vagina always experience fuddled, but I don't have leucorrhea, and I have chest tightness, alike iodin can't breathe, but there is no chest pain. What's going on? There have been so many problems in the month of maternity",ask more
