text,intent,label
can levator ani treat hemorrhoids?,treatment method,8
what's up with hereditary punctuate susceptibility peripheral neuropathy,definition,3
what are the causes of postpartum headaches? what medicines should i take for postpartum headaches so that they won't hurt the body?,ask more,1
"what can cause blood in the stool? what conditions can cause blood in the stool,.",cause,2
"recently, my aunt has neurasthenia and her expression is indifferent. is there any medicine for anti-depression? what should i pay attention to?",ask more,1
"chest tightness, high blood blackjack and arrhythmia",ask more,1
"if you are tested positive for covid-19, and your fever keeps going up daily (100 to 101 to 102 to 103), what should you do if all other symptoms remain the same?",treatment,7
what is variant asthma,definition,3
"younker beans audible games and forth for two a year, perhaps after a periods of mainly papules, followed by miniscule pustules, and then it did not grow much for a few days. size, some flannel, small pustules, and many scars, two is healed, and now the scar is a protruding induration, may i asks how to induce rid of acne by myself?",disease manifestations,4
is there anything wrong with using this medicine for left chest pain? how should i take this medicine?,ask more,1
"male, 40 years old. he has suffered from copd for more than three years. he often feels chest tightness, shortness of breath, difficulty breathing, and worsening at night. please ask a doctor, what is the best treatment for copd.",method,5
"hello, i want to ask, can i take any medicine for a short penis? thank you!",applicable disease,0
what is the ailment of diaphragm pop,definition,3
"leyou, who has been taking it for 6 months, feels very good, do you need to reduce the medicine now?",usage,9
"nanchong specialist hospital for constipation, can dry lotus leaf tea treat constipation?",applicable disease,0
"hello, i have rheumatoid arthritis. the doctor prescribed yishenjuanbi pill. can i take this music for a long time?",usage,9
"coughing, dizziness, weakness. coughing for a long time",disease manifestations,4
"the left tongue is sore and the left gum is sore, which medicine is more effective?",method,5
what's wrong with febrile seizures,definition,3
what's the matter with the baby having too many bowel movements?,cause,2
"women, there is a small flesh in the anus. the examination present that it is external hemorrhoids. unity want to ask how to treat and care for external hemorrhoids?",method,5
"sometimes after dinner, i have a sudden stomachache and diarrhea, and the pain is gone. the poop is normal yellow, but after a few days, the stomach is uncomfortable and warm.",disease manifestations,4
"epilepsy is a serious chronic disease of the nervous system. we must pay attention to it in our daily life. if we don't pay attention to the appearance of epilepsy, it may even bring life hazards to the patient. then, what is the diagnosis of epilepsy? method",symptoms,6
should i preserve to consume insulin when the fasting blood sugar fall to 6.15?,method,5
"hello sir this is arvind from lucknow ...sir my mom is suffring from lugs pnemonoia.......she was hospitalized 15 days in hospital but ,,,,still she is suffer from pneumonia.....there are many check up has done ...during ct scan of thorex a mass of cell is seen in right lungs ......but i get test a fnac through usg and ct guided ... but there is no maligant cell are seen in both fnac... sir i am very worry about this i am not able to undestand what i should do for it......pls give me better advice which hospital will be best for me ......",method,5
"how many milliliters do ane eat per day, i bought it for my child, he is 13 years old.",usage,9
i have suffered from hemorrhoids for many years. i often have bleeding and painful stools. medication is better. i want to ask how to treat hemorrhoids other than surgery?,method,5
"hello, my aunt came a little this month, it was yellowish-brown, and disappeared the next day. then i go to the infirmary to tally that i was pregnant. could it be an ectopic pregnancy?",cause,2
bad digestion,treatment,7
what is the medicine for hypertensive edema?,treatment method,8
"when i was on a business trip some time ago, because i was playing in a bar and had sex with a strange man, i didn't use a condom. the next morning i found a lot of warts on the man's buttocks. , i looked like it was condyloma acuminatum, i wanted to know what the early symptoms of this disease were, and i was worried that i was infected.",ask more,1
what's the matter with my leg cramps when i sleep? i'm 8 months pregnant. the last few days i've been sleeping with leg cramps at night. what's the reason?,cause,2
anyone in my mob was diagnosed with schizophrenia not long ago and wants to surveillance it with medication. is the price of ziprasidone hydrochloride tablets expensive? represent it okay to buy it according to the cours of discourse?,method,5
"diarrhea, sometimes yellow sometimes green, watery",disease manifestations,4
"my brother has a recent urinary tract infection, could the doctor tell me what medicine to take?",treatment method,8
what medicine to engage for urinary tract infection,applicable disease,0
does the periosteal fistula of the skull need surgery?,method,5
"it's been a year for genital herpes, and it materialise repeatedly. is there a way to fix rid of it? it's just right here, and it derive out there again",method,5
scratching sore thoat and slight chest irritation. with body aches and tired with slight fever?,disease manifestations,4
"hello, i am a tenderness patient, can i still require some kidney-tonifying and essence-filling pills? will this be a problem?",applicable disease,0
which insulin injection is better for blood sugar control?,method,5
"last year, the hpv value was found to be high, mainly because of problems with tct. there is always inflammation, and sometimes there is a peculiar smell. the treatment effect has not been good, and the value has not decreased. the bottom is 19. since i heard this after the news, i was in a very low mood for a period of time. i didn't know what to do. how can i treat a high hpv level? how long does it take for the male hpv virus to heal itself?",treatment method,8
"what should i do if i can't sleep with a toothache in the middle of the night? i'm still in the third trimester, and i can't take any toothache medicine. it's so uncomfortable.",treatment,7
"which method is better for the treatment of vitiligo? i found that there is a white spot on the buttocks, which is neither painful nor itchy. there is no obvious feeling. i went to the hospital for examination. it is a skin disease of vitiligo. which method is better?",method,5
why more and more women are getting breast cancer,cause,2
frequent insomnia and more dreams are easy to awaken up when you sleep. how do you usually adjust your slumber?,treatment method,8
hello! what's wrong with my weakness after taking beijing tongrentang dahuoluo pill?,cause,2
"it hurts in the anus, what should i do? i eat very lightly, and i don't smoke or drink, it's a headache",treatment method,8
neck mri found a peanut-sized hemangioma. now the child's hemangioma is getting bigger and bigger. why do infants in inner mongolia have hemangioma?,cause,2
"how to revert compound zinc cloth granules for a 2-year-old indulge count 28 kg, how to take compound zinc cloth granules for a ace baby weighing 15 kilogram",usage,9
how to treat sophisticated laryngeal cancer,treatment method,8
"about 6 weeks ago i was diagnosed with pe in right lung and phnemoia in the left lung. i was in teh hospital for 9 days. i am on 20mg of warfin per day! my blood levels are holding steady at 2.67. yesterday i had a bit of lower back pain and today it is between my shoulder blades, mostly on my right side. it hurts my back to breathe, swallow, and move. just sore muscles or could it be something serious with the blood clot? i hate to rush into the doctor if it is nothing....i hope you can help! thanks",disease manifestations,4
"what should i do if i feel flustered, palpitations and cold feet",disease manifestations,4
what's wrong with urethral nuisance after urinating,cause,2
"diabetes skin is itchy, what kind of medicine can i take to help it? it's especially uncomfortable",treatment,7
can i contain xiaoyanling capsules often?,usage,9
what is the prognosis of open traumatic brain injury?,treatment,7
"diarrhoea, like water, less urination, belly sound, 8.9 times a day, the rest is normal,",disease manifestations,4
what medicine should i engage for urinary tract infection to take effect quickly?,treatment,7
how to treat initial cerebral infarction,treatment method,8
"when i come to my aunt every month, i either have a cold or i can't eat.",symptoms,6
"in the past few days, i have produce a batch of pimples on my body, which are quiet a little concentrated to the advert, and the pimples are very moist and smelly, and they have increased in size. i pass to the doctor and said it was condyloma acuminatum. the treatment is much punter now, and i want to know how to prevent condyloma acuminatum. what are the symptoms of condyloma acuminatum? what should i eat?",ask more,1
"hello, can tongluo qutong cream be expend for cervical spine?",applicable disease,0
"congestion and edema of sigmoid colon and proctitis, seek good treatment prescription",treatment,7
is there anything i should pay attention to in the work of taking sunflower kangfu xiaoyan suppository,usage,9
i have tuberculous meningitis and now the intracranial pressure is normal. i don't know why the fever is repeated.,cause,2
what should be yield beware to in daily life of subacute epidural hematoma,method,5
"stomach offend, it hurts for a while, it gets better for a while, don't vomit, don't burn",cause,2
is high diastolic blood pressure high blood pressure?,definition,3
do angina pectoris have to be coronary heart disease?,definition,3
fire sanqi zhigan pills treat hyperlipidemia? will there be any sequelae?,ask more,1
which specialist hospital in chengdu treats deadening in a hot weather?,treatment method,8
what to do with a cold and cough??????,treatment,7
a 2 year complaining that his head is sore. we gave him panado in the morning and at midday. he can't sleep he keeps waking up crying its painful. should i take him to a dr or hospital?,method,5
excuse me how to treat vulvitis?,treatment,7
sudden stomach hurting! what should i do?,treatment method,8
what is pedology viral myocarditis?,definition,3
what should i do if the child has ironic stool?,treatment,7
what to do with the ulcer in the baby's mouth,treatment,7
"a circular rash with a diameter of ane mm developed on the penis following to the penis frenulum, no feeling, launch in the bath on the 2nd. pink, smooth surface. coated with blanched rice vinegar at home white birth creatures.",definition,3
"hemorrhoids, anal itching, and rectal annoyance can similarly occur. how to acupuncture hemorrhoids?",method,5
"unfortunately, two of my friend has condense condyloma acuminatum, which is very serious. i heard that he is currently wading in the hospital. i did not go to schmooze for fear of infection. what is the best treatment for condyloma acuminatum? beforehand treatment mooring: quoi kind of assistant do you desire to stick: quoi is the best treatment for condyloma acuminatum",method,5
what should myocardial infarction patients exhaust?,method,5
"what's the matter with the hemangioma on the child's face and the bulge at the hemangioma? now that the child is 4 months old, how can the hemangioma on the baby's face in inner mongolia be cured?",treatment,7
there is a pimple on the inside of the anus. it hurts when you touch it with your hands. it's hard. it feels uncomfortable when you sit. what's wrong?,cause,2
"i read that people taking steroids for asthma are at higher risk for poor outcomes from covid19. does this include inhalers containing steroids? also, is mild intermittent asthma a risk for poor outcomes or only more severe forms of asthma? thanks",ask more,1
how do we differentiate between covid and flu? my son started with a very sore throat last night and i can’t seem to get his fever under control spread through the house very quickly to everyone else,symptoms,6
what are the symptoms of viral meningitis?,symptoms,6
"the day before yesterday, i found that there was a small purple-red cusp growing in the urethra. i went to the hospital to check the rough section for condyloma acuminatum! would you like to consult if there is a suitable eradication treatment? gene-targeted activated immune antibody technology can treat condyloma acuminatum. eradication?",ask more,1
anal fissure? what to do with anal fissure? very dry stool!.,method,5
my husband has a bad heart and wants to buy coenzyme q0 capsules. is this really effective for heart disease?,applicable disease,0
"tendon contracture caused by trauma, i bought compound heparin sodium allantoin gel (kangruibao), it is a little itchy after use, is it really normal?",symptoms,6
what's the matter with my anus sinking feeling recently? (sometimes there is dampness around the anus),symptoms,6
"hello, can shibawei jiangxiang pill treat liver pain cause by high blood pressure? thank you for your guidance.",applicable disease,0
"external hemorrhoids, itching, pain, what medicine to take?",treatment method,8
"baby is 5 months old, why does breastfeeding cause indigestion? a lot of poop every day",disease manifestations,4
"to know what to do with epilepsy, you must initiative understand the characteristics of epilepsy. amp a neurological sickness caused by aberrant brain sacking, epilepsy often occurs in vie. children's self-help ability it isn't strong, so the treatment of epileptic seizures is typically not in locate, and it is easy to be dangerous. thus what should be answer for enfant with epileptic seizure?",disease manifestations,4
"my child has a hemangioma on his hand, but now when the weather is hot, the hemangioma is red, what's the matter? is it serious? inner mongolia babies have blood vessels on their hands what are the hazards of tumors?",symptoms,6
can niuhuang jiangya pill be used to lower blood pressure in hypertensive patient?,applicable disease,0
what medicine to take for urinary tract infection,applicable disease,0
"how to treat the hemangioma that grows on the toes of the baby, it has been more than 6 months, and iodine don't know how to flock with it. unity am a little worried that the wound inside will not scab normally.how to address it?",treatment,7
what is neurotic depression in children,definition,3
i suspect i may have contracted covid 19. i have a sharp pain in my chest as well.,disease manifestations,4
can i take smecta due to diarrhea due to acclimatization? diabetes. are there any side effects? how to use it?,ask more,1
"if you want to know if you want to treat schizophrenia, should you take chlorpromazine and trihexy valproate sodium?",applicable disease,0
what are the symptoms of variant asthma?,symptoms,6
"multiple fibroids in the uterus, can they be removed with minimally invasive procedures?",usage,9
"i have been coughing for a long time. i have been coughing for more than a month, and sometimes it is accompanied by symptoms of dyspnea. is it indirect pneumonia? what other manifestations of this disease? interstitial symptoms of pneumonia?",symptoms,6
"abdominal pain with loose stools, what's the best way to treat treat it",treatment method,8
difficulty strike asleep... typically insomnia... difficult...,symptoms,6
"i can't breathe when i smell a pungent smell or go to a place with a lot of dust. sometimes i can't do strenuous exercise, and i can't breathe. the doctor said that i have asthma, and it is recommended to be hospitalized for treatment. allergic what are the treatments for asthma?",method,5
my baby's height and weight are not enough. which calcium supplement is suitable for a one-year-old baby?,applicable disease,0
hello: my mother-in-law determine out parkinson's in the hospital and took this drug dopastil,applicable disease,0
"how to treat multiple kidney stones, i'm so worried, what should i do?",treatment method,8
"excuse me, what should t i do if the amount of black menstrual blood is small?",method,5
i want to ask patients with hyperthyroidism if they can't take iodized salt at all? how can i avoid it if i study outside? or is it not a problem to eat something?,ask more,1
mother-in-law accept the complicate multi-dimensional element tablet 23. is it okay to occupy two tablet every day?,usage,9
what are the treatment and prevention methods for foveal pain?,treatment,7
can subcutaneous lipoma stimulate high transfusion coerce,definition,3
may i ask what medicines work for kidney stones?,treatment method,8
"psychological hypoxia, uncomfortable, unhappy heart,",symptoms,6
quel should 1 do if i take nifedipine for high blood pressure?,method,5
i am a hypertensive patient. can flunarizine hydrochloride capsules cure dizziness caused by hypertension?,applicable disease,0
"how to treat condyloma acuminatum female patients? there are not many condyloma acuminatum in the urethra. i have had a laser once, but it grows again, and it is still in the urethra. many people say that the laser can't be cured. .so can traditional chinese medicine cure condyloma acuminatum? i don't want laser treatment anymore?",treatment method,8
i am a hypertensive patient. i have been taking zhenju antihypertensive tablets. i don't know if it will work?,method,5
what is paediatric viral myocarditis?,definition,3
"i was diagnosed with lumbar disc herniation, sciatica, and sometimes a little aft pain. how can i treat it?",method,5
"when there is a disease, it is also necessary to understand the impact of the seizure. we must understand this clearly, especially when suffering from epilepsy, it will bring great inconvenience to the patient and the patient's life. after paying attention to these, it is necessary to understand the most common types of seizures. then, what are the types of seizures in epilepsy patients?",symptoms,6
"how-do-you-do fixate, if the lung puncture exhibition a malignant tumor, can you evaluator both it has metastasized elsewhere based on the puncture?",method,5
"because i have high pedigree pressure, can study angong niuhuang pill help to lower blood pressure? can it prevent high blood pressure?",applicable disease,0
"hello, i often have headaches, and i also have headaches for a long time when i'm nervous. what should i do? can i take zhengtian pills? thank you",ask more,1
jaundice is a bit high,disease manifestations,4
which hospital in fuyang is the best for epilepsy treatment?? the dosages of children's epilepsy and adults' epilepsy are different. i heard that children and adults have different treatment methods. what is the best treatment method for children's epilepsy?,ask more,1
does pyloric children spit up from the kickoff?,cause,2
"for more than 1 year, i took gliclazide once a day, 1 tablet once a day, 1 tablet each time, and 2 tablets of dimethicone every morning. check blood sugar on an empty stomach every morning. it's around 12. i will be allergic to these two now",cause,2
"every night when i sleep, my brain thinks about things, and i feel a little tight in the half-sleep and half-awake state",cause,2
"i'm always afraid that the people around me will have an accident. i just keep thinking about it, and then i get upset. it can be messed up. may i ask if i have a mental problem",cause,2
"a two-year-old baby has a bitter smack in his mouth, accompanying by hard and dry stools",disease manifestations,4
"i'm in the early stage of indoors hemorrhoids, how to treat it",method,5
"female, 71 years old, often has chest tightness and sometimes heartache. it was found to be in the early stage of coronary heart disease. it is not very serious, but the kidneys are not very good",symptoms,6
the child's throne is rouge,disease manifestations,4
how to deal with sudden warmness palpitations,treatment method,8
what does zyprexa treat?,applicable disease,0
quel is facial neuritis,definition,3
"i had a wrench foot when i was operate downstairs. when i produce housing, i found that my ankle collective was a little loose, and ane also had pain when walking. there was a bulge on the right side that looked iike a swelling. whereof should i do now",symptoms,6
"diarrhea, 5 or 6 times a day, no shape, how to do proctoscopy? is there anything that needs attention in the examination?",ask more,1
does angina pectoris choke?,symptoms,6
"how to address neck and shoulder hemangioma?, two year ago, expands lymph nodes were experience in the upper parting of the will carotid sheath. no interventions. thinking of your hospital's treatment, i do not experience if it can be cured. internal mongolia baby raise are hemangiomas severe?",method,5
"hello, may unity ask, what kind of disease is husan capsule used for?",applicable disease,0
"what causes overweight? low cholesterol, blood pressure 80 to 120 blood sugar 495",cause,2
"hello dr. dong, i have fractured the 234 metatarsal bone in my right foot for five months and some have not healed. what's the matter?",disease manifestations,4
"my mother has high blood sugar, high blood pressure, and mild cerebral infarction. how can i be completely cured?",treatment,7
"i had a colonoscopy last wednesday and aspirated. ended up in the emergency department and diagnosed with aspiration pneumonia.i am on antibiotics now. i am able to breathe better than yesterday but i am still coughing a lot, at times producing dark phlegm. and i am very tired. how long should i expect this to last? thank you! dani b",disease manifestations,4
the child has a stomachache and love chit,disease manifestations,4
what's the tally with intrapericardial hemorrhage?,definition,3
what are the symptom of acute myocardial myocardial?,symptoms,6
urging to pissing inexhaustible dysuria and frequent urination,disease manifestations,4
what's the matter with premature beats? do normal people have premature beats too?,ask more,1
"my amie stand from traumatic brain wounds in an accident four years ago and had epileptic seizures. his limbs shivered, his eyes were revolved up, his teeth were lock, and he was unconscious. quoi are the common symptoms of epilepsy? i deprivation to know whether the disease is good for treatment, iodin leasia to bonk some common symptoms of epilepsy.",symptoms,6
"i've been in a very bad mood recently, i'm easily irritable, i've been depressed and self-injured many times, and it's hard to control my emotions for almost half a year.",symptoms,6
"i had a goiter before and had surgery, and now it recur. stool this drug be used for recurrence after thyroid surgery?",applicable disease,0
can i take propranolol hydrochloride tablets in order to prepare for the exam and i am afraid that the tension will affect the reaction?,treatment method,8
terminate i carry xiaoyanling capsules traditionally?,usage,9
"unifying have had phlegm for about leash years because i had a chilled before, and i took medicine in the oriente. the medicine turned out to be more serious this morning. my wind is stuffy, my throat is sore, and ane cannot cough up phlegm.",symptoms,6
two small bags on the anus are very painful,symptoms,6
what's the subject with aphasia?,definition,3
had a headache and couldn't sleep last night,symptoms,6
"wife has some depression symptoms during pregnancy, can i carry zorexin?",applicable disease,0
how many milliliters is seize for rectal instillation therapy for a two-year-old babies,usage,9
"what will happen if you consume too much eucalyptus, what kind of medicine is better?",ask more,1
"i've low origin pressure, lack of qi and blood, my body is puny, and my face is allergic. what medicine should i homecoming?",definition,3
"i would like to ask, what's the problem with red and yellow urine, sore throat and dry mouth",cause,2
how to treat ocd,method,5
"i would like to ask, what medicine should i take for frequent urination and waiting for insufficiency of micturition",treatment,7
the left-hand brooch aches and feels painful,disease manifestations,4
"my lumbar disc has been protruding for 2 years. recently, i learn that the wind-chasing and muscle-relieving paste crop well. may i ask if i have central numbness in my legs and feet?",definition,3
"after urinating, i feel tingling inside, and it seems to be bloody, and i feel like i can't urinate all the time",symptoms,6
"receive been suffering from fibrous hemorrhoids for a year,want to consult what stimulate fibrous hemorrhoids? what should you pay attention to?",ask more,1
how to consider with anal fissure after cesarean section,method,5
flashin fish oil soft capsules and soy lecithin soft capsules are taken together. is it a big problem? do i need to see a doctor in time?,ask more,1
"a lot of farts every day, what's the matter! indigestion?",ask more,1
"excuse me, what should i do if my period is unstable and there is a pocket-size blood clot?",treatment method,8
what drug do i use and how long does it take?,method,5
what to do with dizziness after cerebral thrombosis?,treatment method,8
will sitting for a long time cause hemorrhoids?,cause,2
bone headaches persist and tingling pain when walking. when should i demand anti-bone hyperplasia pill?,usage,9
i do not know why i pee when unity cough,disease manifestations,4
"angstrom few days ago, there was a sudden pain under the fossa for some reason. it finally roadblock, and thursday it suddenly hurts again.",disease manifestations,4
what's the matter with chest pain and tightness,cause,2
tinnitus referable to hypertension,cause,2
what are the symptoms of hypoplastic hydrocephalus,disease manifestations,4
"hi my throat is sore, and very scratchy, i have also have a cough to accompany this, well the cough started about a week ago, i have no fever. just want to know if this is anyway related to covid 19 my voice is also very hoarse?",cause,2
what is spontaneous pneumothorax (airway medicament),definition,3
"what symptoms is compound danshen tablets specially used to treat, who is it suitable for, how to take it, and are there any contraindications",ask more,1
arse angina pectoris be treated with anti-inflammatory injections?,definition,3
how to reduce the dose of aripiprazole tablets? can the drug be stopped at the end?,ask more,1
what are the first aid metre for intracranial hypertension syndrome,method,5
what kind of injection for hemorrhoids is quick and effective?,treatment,7
dry stool with blood,disease manifestations,4
"constipation, hemorrhoids, blood in the stool, hemorrhoids can't be retracted outside, what should i do with diet treatment? can hemorrhoid surgery be treated?",ask more,1
how to treat bleeding haemorrhoids?,method,5
how about the recent constipation and prolapse of inner piles?,method,5
"bye doctor, i suddenly faced a row of little particles on my labia in the past two days, a lump of flesh above the vaginal scuttle, fluent and cushy, and dermatitis in the vulva. i have not had intercourse for more than a month. is it condyloma acuminatum?",disease manifestations,4
i am prone to insomnia at night when i am 6 months pregnant. i wake up every three or four o'clock. is there any way to help sleep?,treatment method,8
i often sit for a long time and have difficulty defecation recently. do i have any hemorrhoids? does sitting for a long time cause hemorrhoids? what are the reasons?,ask more,1
what does palpitation miserly,definition,3
"excuse me, what's the problem with vaginal itching?",cause,2
"some time agone, i witness that there are some speck raising in my genitalia. nowadays i describe that it uprise more and it'll be itchy. i have never bang. i suspect that i have condyloma acuminatum. is there any routes to cure it?",method,5
how does vantele wreak on ankle sprains?,applicable disease,0
should there be any steps and render for hip care? how should it be done?,treatment method,8
what's the matter with the leg cramping at soir? the calf cramps almost every day at night. serve any mother acknowledge what is passing on?,symptoms,6
can ampicillin capsules be taken by fry aged 7.5 years? is the dosage suitable for taking it?,ask more,1
"anal fistula hemorrhoids, redness, swelling and pain, loose stools, how to treat?",treatment method,8
"the hemangioma found in 3 months, grows on the patients mouth, has it been observed that it has grown a few millimeters recently, how to cure the long hemangioma cancer of the infant's mouth in inner mongolia?",treatment method,8
"can ginkgo biloba cure stomach flatulence, chest tightness, continuous palpitation, fretfulness, dizziness, inability to fight?",applicable disease,0
there's something hard next to the anus. it hurts. sometimes it hurts to walk but no blood in the stool. i want to know what to do now...i'm a student,treatment,7
"1 have high blood pressure, can't stand my feet, can't sit still, what medicine can i use to plow it? can i add angelica, poria, and ginseng to chinese medicate?",ask more,1
"inner pain around the sacrococcygeal bone, no pain when walking, no abnormal stool, especially painful when pressed by hand.",disease manifestations,4
"have bear from internal hemorrhoids for seven or eight years. it will be more serious if you work too much or puzzle angry. there will be soy-sized bumps in the inside of the anus, which will trauma after exertion. what remediate can be used to eradicate them?",treatment,7
"hello, i know that taking jiuwei zhenxin granules can treat anxiety, but how long is a course of treatment?",applicable disease,0
"i'm only 24 years old, and i've had bronchitis repeatedly. how can i therapeutic it? i bring a fate of anti-inflammatory drugs every time, but the next time i catch a cold. alas.",treatment method,8
what's the matter with that tendon in the pinna? some ears are uneasy and some have headaches.,symptoms,6
"55-year-old female with enlarged heart and heart failure, how can i relieve my symptoms?",treatment,7
"hello, fix, what's the matter with frequent urination and urgency? urgently, thank you",cause,2
"hello doctor, i would like to know if lingrui pepper rheumatism cream is effective for chronic arthritis?",applicable disease,0
how should angina pectoris be range,definition,3
"hello, can a person with heart disease take qianxi tablet for diarrhea?",applicable disease,0
how much does it cost? bequeath the surgery heal?,ask more,1
"on the third day after unclean sex, there are small flesh-colored spots in the glans groove that are not painful or itchy. could it be condyloma acuminatum?",definition,3
is it customary to measure anus 38.fin for a kid,definition,3
"1 am a patient with variant angina pectoris. i have tried many medicines but no effect. i heard from my friends that using nifedipine tablets will have good upshot, compensate? will there be any adverse reactions?",applicable disease,0
i'm not in good health and often cough with phlegm. i have no energy. what should 1 do if i donjon coughing in copd,treatment,7
"how should ikexin vitamin ad drops capsules be taken? instead, cod liver oil should not be used so early.",usage,9
i wonder if taurine soft capsules can be taken together with anshen bunao liquid? will there be any adverse effects? can i drink tea with these two medicines?,ask more,1
"iodine smoked for 7 years and had chronic bronchitis. now i have difficulty breathing, chest tightness, lethargy, phlegm and asthma. what should i do?;",treatment,7
"the shaver coughs repeatedly, and it has become more serious in the past two days. he doesn't cough at night, and coughing very badly during the day",treatment method,8
what should i do if i get hemorrhoids in nine months of pregnancy,treatment,7
"i always get very spoiled leg hamper when i go to bed at night. sisters point me, what calcium tablets should pregnant women take?",method,5
"lavatory the bodies reacting when the hemangioma is magnanimous? my enfant had a b-ultrasound today and the doctor said me. there is a large hemangioma on my child's substructure, but i've no reaction at all. intimate rwanda baby augment on their feet. are the hemangiomas on it very dangerous?",symptoms,6
"i twisted my foot last week, why hasn't my swelling gone away down after using yunnan baiyao aerosol for a week?",applicable disease,0
patients with high-pitched blood pressure and poor immunity can take niuhuang jiangya pills?,applicable disease,0
"we all also need to remember that serious chronic diseases can cause harm to the body, and this will have some very huge effects on everyone, so when suffering from epilepsy, people also need to understand the most common and effective prevention, then, what are the common steps in the prevention of epilepsy?",definition,3
"have a headache and fever 386, do you want to take sanlitong?",applicable disease,0
green stool milk valve,disease manifestations,4
"salutations, my five ultrasonography testing indicate that the sacrococcygeal end is unclear and angled and bent, can you aids me to understand if this is really spina bifida.",definition,3
"what are the ziyang epilepsy hospitals? my brother often suddenly loses consciousness, falls to the ground, twitches his limbs, and spit saliva. it has been more than 3 months now, and he has taken a lot of medicines and has not improved. i went to the hospital and found out that it is epilepsy. i want to know what are the symptoms and treatment methods of epilepsy? and how we need to care for it. clinical manifestations of epilepsy",ask more,1
"my hair is stuffy, i can't concentrate, and i can't sleep until the middle of the night. how should i take this medicine?",treatment method,8
"i have been coughing ceaselessly since i total punt from a business trip a few months ago. after the treatment, it was good and defective. i had the same disease after i rifle there a few days ago and just came second. i have difficulty breathing. i went to the hospital and said that i have allergic asthma. how should i treat this disease effectively?",method,5
