text,intent,label
What disease is citalopram hydrobromide mainly secondhand for?,applicable disease,0
When is the shelf life of Zhenmu Shengu Capsule? What injure will it crusade if it expires?,usage,9
Can levator ani treat hemorrhoids?,treatment method,8
What's up with hereditary punctuate susceptibility peripheral neuropathy,definition,3
What are the causes of postpartum headaches? What medicines should I take for postpartum headaches so that they won't hurt the body?,ask more,1
"What can cause blood in the stool? What conditions can cause blood in the stool,.",cause,2
"Recently, my aunt has neurasthenia and her expression is indifferent. Is there any medicine for anti-depression? What should I pay attention to?",ask more,1
"chest tightness, high blood blackjack and arrhythmia",ask more,1
"if you are tested positive for covid-19, and your fever keeps going up daily (100 to 101 to 102 to 103), what should you do if all other symptoms remain the same?",treatment,7
What is Variant Asthma,definition,3
"younker Beans audible games and forth for two a year, perhaps after a periods of mainly papules, followed by miniscule pustules, and then it did not grow much for a few days. Size, some flannel, small pustules, and many scars, two is healed, and now the scar is a protruding induration, may I asks how to induce rid of acne by myself?",disease manifestations,4
Is there anything wrong with using this medicine for left chest pain? How should I take this medicine?,ask more,1
"Male, 40 years old. He has suffered from COPD for more than three years. He often feels chest tightness, shortness of breath, difficulty breathing, and worsening at night. Please ask a doctor, what is the best treatment for COPD.",method,5
"Hello, I want to ask, can I take any medicine for a short penis? Thank you!",applicable disease,0
What is the ailment of diaphragm pop,definition,3
"Leyou, who has been taking it for 6 months, feels very good, do you need to reduce the medicine now?",usage,9
"Nanchong Specialist Hospital for Constipation, Can Dry Lotus Leaf Tea Treat Constipation?",applicable disease,0
"Hello, I have rheumatoid arthritis. The doctor prescribed Yishenjuanbi Pill. Can I take this music for a long time?",usage,9
"Coughing, dizziness, weakness. Coughing for a long time",disease manifestations,4
"The left tongue is sore and the left gum is sore, which medicine is more effective?",method,5
What's wrong with febrile seizures,definition,3
What's the matter with the baby having too many bowel movements?,cause,2
"Women, there is a small flesh in the anus. The examination present that it is external hemorrhoids. unity want to ask how to treat and care for external hemorrhoids?",method,5
"Sometimes after dinner, I have a sudden stomachache and diarrhea, and the pain is gone. The poop is normal yellow, but after a few days, the stomach is uncomfortable and warm.",disease manifestations,4
"Epilepsy is a serious chronic disease of the nervous system. We must pay attention to it in our daily life. If we don't pay attention to the appearance of epilepsy, it may even bring life hazards to the patient. Then, what is the diagnosis of epilepsy? method",symptoms,6
Should I preserve to consume insulin when the fasting blood sugar fall to 6.15?,method,5
"hello sir this is arvind from lucknow ...sir my mom is suffring from lugs pnemonoia.......she was hospitalized 15 days in hospital but ,,,,still she is suffer from pneumonia.....there are many check up has done ...during ct scan of thorex a mass of cell is seen in right lungs ......but i get test a fnac through usg and ct guided ... but there is no maligant cell are seen in both fnac... sir i am very worry about this i am not able to undestand what i should do for it......pls give me better advice which hospital will be best for me ......",method,5
"How many milliliters do ane eat per day, I bought it for my child, he is 13 years old.",usage,9
I have suffered from hemorrhoids for many years. I often have bleeding and painful stools. Medication is better. I want to ask how to treat hemorrhoids other than surgery?,method,5
"Hello, my aunt came a little this month, it was yellowish-brown, and disappeared the next day. Then I go to the infirmary to tally that I was pregnant. Could it be an ectopic pregnancy?",cause,2
Bad digestion,treatment,7
What is the medicine for hypertensive edema?,treatment method,8
"When I was on a business trip some time ago, because I was playing in a bar and had sex with a strange man, I didn't use a condom. The next morning I found a lot of warts on the man's buttocks. , I looked like it was condyloma acuminatum, I wanted to know what the early symptoms of this disease were, and I was worried that I was infected.",ask more,1
What's the matter with my leg cramps when I sleep? I'm 8 months pregnant. The last few days I've been sleeping with leg cramps at night. What's the reason?,cause,2
Anyone in my mob was diagnosed with schizophrenia not long ago and wants to surveillance it with medication. Is the price of ziprasidone hydrochloride tablets expensive? represent it okay to buy it according to the cours of discourse?,method,5
"diarrhea, sometimes yellow sometimes green, watery",disease manifestations,4
"My brother has a recent urinary tract infection, could the doctor tell me what medicine to take?",treatment method,8
What medicine to engage for urinary tract infection,applicable disease,0
Does the periosteal fistula of the skull need surgery?,method,5
"It's been a year for genital herpes, and it materialise repeatedly. Is there a way to fix rid of it? It's just right here, and it derive out there again",method,5
scratching sore thoat and slight chest irritation. with body aches and tired with slight fever?,disease manifestations,4
"Hello, I am a tenderness patient, can I still require some kidney-tonifying and essence-filling pills? Will this be a problem?",applicable disease,0
Which insulin injection is better for blood sugar control?,method,5
"Last year, the HPV value was found to be high, mainly because of problems with TCT. There is always inflammation, and sometimes there is a peculiar smell. The treatment effect has not been good, and the value has not decreased. The bottom is 19. Since I heard this After the news, I was in a very low mood for a period of time. I didn't know what to do. How can I treat a high hpv level? How long does it take for the male HPV virus to heal itself?",treatment method,8
"What should I do if I can't sleep with a toothache in the middle of the night? I'm still in the third trimester, and I can't take any toothache medicine. It's so uncomfortable.",treatment,7
"Which method is better for the treatment of vitiligo? I found that there is a white spot on the buttocks, which is neither painful nor itchy. There is no obvious feeling. I went to the hospital for examination. It is a skin disease of vitiligo. Which method is better?",method,5
Why more and more women are getting breast cancer,cause,2
Frequent insomnia and more dreams are easy to awaken up when you sleep. How do you usually adjust your slumber?,treatment method,8
Hello! What's wrong with my weakness after taking Beijing Tongrentang Dahuoluo Pill?,cause,2
"It hurts in the anus, what should I do? I eat very lightly, and I don't smoke or drink, it's a headache",treatment method,8
Neck MRI found a peanut-sized hemangioma. Now the child's hemangioma is getting bigger and bigger. Why do infants in Inner Mongolia have hemangioma?,cause,2
"How to revert compound zinc cloth granules for a 2-year-old indulge count 28 kg, how to take compound zinc cloth granules for a ace baby weighing 15 kilogram",usage,9
How to treat sophisticated laryngeal cancer,treatment method,8
"about 6 weeks ago i was diagnosed with pe in right lung and phnemoia in the left lung. i was in teh hospital for 9 days. i am on 20mg of warfin per day! my blood levels are holding steady at 2.67. yesterday i had a bit of lower back pain and today it is between my shoulder blades, mostly on my right side. it hurts my back to breathe, swallow, and move. just sore muscles or could it be something serious with the blood clot? i hate to rush into the doctor if it is nothing....i hope you can help! thanks",disease manifestations,4
"What should I do if I feel flustered, palpitations and cold feet",disease manifestations,4
What's wrong with urethral nuisance after urinating,cause,2
"Diabetes skin is itchy, what kind of medicine can I take to help it? It's especially uncomfortable",treatment,7
Can I contain Xiaoyanling capsules often?,usage,9
What is the prognosis of open traumatic brain injury?,treatment,7
"Diarrhoea, like water, less urination, belly sound, 8.9 times a day, the rest is normal,",disease manifestations,4
What medicine should I engage for urinary tract infection to take effect quickly?,treatment,7
How to treat initial cerebral infarction,treatment method,8
"When I come to my aunt every month, I either have a cold or I can't eat.",symptoms,6
"In the past few days, I have produce a batch of pimples on my body, which are quiet a little concentrated to the advert, and the pimples are very moist and smelly, and they have increased in size. I pass to the doctor and said it was condyloma acuminatum. The treatment is much punter now, and I want to know how to prevent condyloma acuminatum. What are the symptoms of condyloma acuminatum? What should I eat?",ask more,1
"Hello, can Tongluo Qutong cream be expend for cervical spine?",applicable disease,0
"Congestion and edema of sigmoid colon and proctitis, seek good treatment prescription",treatment,7
Is there anything I should pay attention to in the work of taking Sunflower Kangfu Xiaoyan Suppository,usage,9
I have tuberculous meningitis and now the intracranial pressure is normal. I don't know why the fever is repeated.,cause,2
What should be yield beware to in daily life of subacute epidural hematoma,method,5
"Stomach offend, it hurts for a while, it gets better for a while, don't vomit, don't burn",cause,2
Is high diastolic blood pressure high blood pressure?,definition,3
do angina pectoris have to be coronary heart disease?,definition,3
fire Sanqi Zhigan Pills treat hyperlipidemia? Will there be any sequelae?,ask more,1
Which specialist hospital in Chengdu treats deadening in a hot weather?,treatment method,8
What to do with a cold and cough??????,treatment,7
a 2 year complaining that his head is sore. we gave him panado in the morning and at midday. he can't sleep he keeps waking up crying its painful. should i take him to a dr or hospital?,method,5
Excuse me how to treat vulvitis?,treatment,7
Sudden stomach hurting! What should I do?,treatment method,8
What is pedology Viral myocarditis?,definition,3
What should I do if the child has ironic stool?,treatment,7
What to do with the ulcer in the baby's mouth,treatment,7
"A circular rash with a diameter of ane mm developed on the penis following to the penis frenulum, no feeling, launch in the bath on the 2nd. Pink, smooth surface. Coated with blanched rice vinegar at home White birth creatures.",definition,3
"Hemorrhoids, anal itching, and rectal annoyance can similarly occur. How to acupuncture hemorrhoids?",method,5
"Unfortunately, two of my friend has condense condyloma acuminatum, which is very serious. I heard that he is currently wading in the hospital. I did not go to schmooze for fear of infection. What is the best treatment for condyloma acuminatum? Beforehand treatment mooring: Quoi kind of assistant do you desire to stick: Quoi is the best treatment for condyloma acuminatum",method,5
What should myocardial infarction patients exhaust?,method,5
"What's the matter with the hemangioma on the child's face and the bulge at the hemangioma? Now that the child is 4 months old, how can the hemangioma on the baby's face in Inner Mongolia be cured?",treatment,7
There is a pimple on the inside of the anus. It hurts when you touch it with your hands. It's hard. It feels uncomfortable when you sit. What's wrong?,cause,2
"i read that people taking steroids for asthma are at higher risk for poor outcomes from covid19. does this include inhalers containing steroids? also, is mild intermittent asthma a risk for poor outcomes or only more severe forms of asthma? thanks",ask more,1
how do we differentiate between covid and flu? my son started with a very sore throat last night and i can’t seem to get his fever under control spread through the house very quickly to everyone else,symptoms,6
What are the symptoms of viral meningitis?,symptoms,6
"The day before yesterday, I found that there was a small purple-red cusp growing in the urethra. I went to the hospital to check the rough section for condyloma acuminatum! Would you like to consult if there is a suitable eradication treatment? Gene-targeted activated immune antibody technology can treat condyloma acuminatum. Eradication?",ask more,1
Anal fissure? What to do with anal fissure? Very dry stool!.,method,5
My husband has a bad heart and wants to buy coenzyme Q0 capsules. Is this really effective for heart disease?,applicable disease,0
"Tendon contracture caused by trauma, I bought compound heparin sodium allantoin gel (Kangruibao), it is a little itchy after use, is it really normal?",symptoms,6
What's the matter with my anus sinking feeling recently? (Sometimes there is dampness around the anus),symptoms,6
"Hello, can Shibawei Jiangxiang Pill treat liver pain cause by high blood pressure? Thank you for your guidance.",applicable disease,0
"External hemorrhoids, itching, pain, what medicine to take?",treatment method,8
"Baby is 5 months old, why does breastfeeding cause indigestion? A lot of poop every day",disease manifestations,4
"To know what to do with epilepsy, you must initiative understand the characteristics of epilepsy. amp a neurological sickness caused by aberrant brain sacking, epilepsy often occurs in vie. Children's self-help ability It isn't strong, so the treatment of epileptic seizures is typically not in locate, and it is easy to be dangerous. Thus what should be answer for enfant with epileptic seizure?",disease manifestations,4
"My child has a hemangioma on his hand, but now when the weather is hot, the hemangioma is red, what's the matter? Is it serious? Inner Mongolia babies have blood vessels on their hands What are the hazards of tumors?",symptoms,6
Can Niuhuang Jiangya Pill be used to lower blood pressure in hypertensive patient?,applicable disease,0
What medicine to take for urinary tract infection,applicable disease,0
"How to treat the hemangioma that grows on the toes of the baby, it has been more than 6 months, and iodine don't know how to flock with it. unity am a little worried that the wound inside will not scab normally.How to address it?",treatment,7
What is neurotic depression in children,definition,3
i suspect i may have contracted covid 19. i have a sharp pain in my chest as well.,disease manifestations,4
Can I take Smecta due to diarrhea due to acclimatization? Diabetes. Are there any side effects? How to use it?,ask more,1
"If you want to know if you want to treat schizophrenia, should you take chlorpromazine and trihexy valproate sodium?",applicable disease,0
What are the symptoms of variant asthma?,symptoms,6
"Multiple fibroids in the uterus, can they be removed with minimally invasive procedures?",usage,9
"I have been coughing for a long time. I have been coughing for more than a month, and sometimes it is accompanied by symptoms of dyspnea. Is it indirect pneumonia? What other manifestations of this disease? Interstitial Symptoms of pneumonia?",symptoms,6
"Abdominal pain with loose stools, what's the best way to treat treat it",treatment method,8
Difficulty strike asleep... Typically insomnia... Difficult...,symptoms,6
"I can't breathe when I smell a pungent smell or go to a place with a lot of dust. Sometimes I can't do strenuous exercise, and I can't breathe. The doctor said that I have asthma, and it is recommended to be hospitalized for treatment. Allergic What are the treatments for asthma?",method,5
My baby's height and weight are not enough. Which calcium supplement is suitable for a one-year-old baby?,applicable disease,0
Hello: my mother-in-law determine out Parkinson's in the hospital and took this drug Dopastil,applicable disease,0
"How to treat multiple kidney stones, I'm so worried, what should I do?",treatment method,8
"Excuse me, what should t I do if the amount of black menstrual blood is small?",method,5
I want to ask patients with hyperthyroidism if they can't take iodized salt at all? How can I avoid it if I study outside? Or is it not a problem to eat something?,ask more,1
Mother-in-law accept the complicate multi-dimensional element tablet 23. Is it okay to occupy two tablet every day?,usage,9
What are the treatment and prevention methods for foveal pain?,treatment,7
Can subcutaneous lipoma stimulate high transfusion coerce,definition,3
May I ask what medicines work for kidney stones?,treatment method,8
"Psychological hypoxia, uncomfortable, unhappy heart,",symptoms,6
Quel should 1 do if I take nifedipine for high blood pressure?,method,5
I am a hypertensive patient. Can flunarizine hydrochloride capsules cure dizziness caused by hypertension?,applicable disease,0
"How to treat condyloma acuminatum female patients? There are not many condyloma acuminatum in the urethra. I have had a laser once, but it grows again, and it is still in the urethra. Many people say that the laser can't be cured. .So can traditional Chinese medicine cure condyloma acuminatum? I don't want laser treatment anymore?",treatment method,8
I am a hypertensive patient. I have been taking Zhenju antihypertensive tablets. I don't know if it will work?,method,5
What is paediatric Viral Myocarditis?,definition,3
"I was diagnosed with lumbar disc herniation, sciatica, and sometimes a little aft pain. How can I treat it?",method,5
"When there is a disease, it is also necessary to understand the impact of the seizure. We must understand this clearly, especially when suffering from epilepsy, it will bring great inconvenience to the patient and the patient's life. After paying attention to these, it is necessary to understand the most common types of seizures. Then, what are the types of seizures in epilepsy patients?",symptoms,6
"how-do-you-do fixate, if the lung puncture exhibition a malignant tumor, can you evaluator both it has metastasized elsewhere based on the puncture?",method,5
"Because I have high pedigree pressure, can study Angong Niuhuang Pill help to lower blood pressure? Can it prevent high blood pressure?",applicable disease,0
"Hello, I often have headaches, and I also have headaches for a long time when I'm nervous. What should I do? Can I take Zhengtian Pills? Thank you",ask more,1
jaundice is a bit high,disease manifestations,4
Which hospital in Fuyang is the best for epilepsy treatment?? The dosages of children's epilepsy and adults' epilepsy are different. I heard that children and adults have different treatment methods. What is the best treatment method for children's epilepsy?,ask more,1
Does pyloric children spit up from the kickoff?,cause,2
"For more than 1 year, I took gliclazide once a day, 1 tablet once a day, 1 tablet each time, and 2 tablets of dimethicone every morning. Check blood sugar on an empty stomach every morning. It's around 12. I will be allergic to these two now",cause,2
"Every night when I sleep, my brain thinks about things, and I feel a little tight in the half-sleep and half-awake state",cause,2
"I'm always afraid that the people around me will have an accident. I just keep thinking about it, and then I get upset. It can be messed up. May I ask if I have a mental problem",cause,2
"A two-year-old baby has a bitter smack in his mouth, accompanying by hard and dry stools",disease manifestations,4
"I'm in the early stage of indoors hemorrhoids, how to treat it",method,5
"Female, 71 years old, often has chest tightness and sometimes heartache. It was found to be in the early stage of coronary heart disease. It is not very serious, but the kidneys are not very good",symptoms,6
The child's throne is rouge,disease manifestations,4
How to deal with sudden warmness palpitations,treatment method,8
What does Zyprexa treat?,applicable disease,0
Quel is facial neuritis,definition,3
"I had a wrench foot when I was operate downstairs. When I produce housing, I found that my ankle collective was a little loose, and ane also had pain when walking. There was a bulge on the right side that looked iike a swelling. Whereof should I do now",symptoms,6
"Diarrhea, 5 or 6 times a day, no shape, how to do proctoscopy? Is there anything that needs attention in the examination?",ask more,1
Does angina pectoris choke?,symptoms,6
"How to address neck and shoulder hemangioma?, two year ago, expands lymph nodes were experience in the upper parting of the will carotid sheath. No interventions. Thinking of your hospital's treatment, I do not experience if it can be cured. Internal Mongolia baby raise Are hemangiomas severe?",method,5
"Hello, may unity ask, what kind of disease is Husan Capsule used for?",applicable disease,0
"What causes overweight? Low cholesterol, blood pressure 80 to 120 blood sugar 495",cause,2
"Hello Dr. Dong, I have fractured the 234 metatarsal bone in my right foot for five months and some have not healed. What's the matter?",disease manifestations,4
"My mother has high blood sugar, high blood pressure, and mild cerebral infarction. How can I be completely cured?",treatment,7
"i had a colonoscopy last wednesday and aspirated. ended up in the emergency department and diagnosed with aspiration pneumonia.i am on antibiotics now. i am able to breathe better than yesterday but i am still coughing a lot, at times producing dark phlegm. and i am very tired. how long should i expect this to last? thank you! dani b",disease manifestations,4
The child has a stomachache and love chit,disease manifestations,4
What's the tally with intrapericardial hemorrhage?,definition,3
What are the symptom of acute myocardial myocardial?,symptoms,6
urging to pissing inexhaustible dysuria and frequent urination,disease manifestations,4
What's the matter with premature beats? Do normal people have premature beats too?,ask more,1
"My amie stand from traumatic brain wounds in an accident four years ago and had epileptic seizures. His limbs shivered, his eyes were revolved up, his teeth were lock, and he was unconscious. Quoi are the common symptoms of epilepsy? I deprivation to know whether the disease is good for treatment, iodin Leasia to bonk some common symptoms of epilepsy.",symptoms,6
"I've been in a very bad mood recently, I'm easily irritable, I've been depressed and self-injured many times, and it's hard to control my emotions for almost half a year.",symptoms,6
"I had a goiter before and had surgery, and now it recur. stool this drug be used for recurrence after thyroid surgery?",applicable disease,0
Can I take propranolol hydrochloride tablets in order to prepare for the exam and I am afraid that the tension will affect the reaction?,treatment method,8
terminate I carry Xiaoyanling capsules traditionally?,usage,9
"unifying have had phlegm for about leash years because I had a chilled before, and I took medicine in the oriente. The medicine turned out to be more serious this morning. My wind is stuffy, my throat is sore, and ane cannot cough up phlegm.",symptoms,6
Two small bags on the anus are very painful,symptoms,6
What's the subject with aphasia?,definition,3
Had a headache and couldn't sleep last night,symptoms,6
"Wife has some depression symptoms during pregnancy, can I carry Zorexin?",applicable disease,0
How many milliliters is seize for rectal instillation therapy for a two-year-old babies,usage,9
"What will happen if you consume too much Eucalyptus, what kind of medicine is better?",ask more,1
"I've low origin pressure, lack of qi and blood, my body is puny, and my face is allergic. What medicine should I homecoming?",definition,3
"I would like to ask, what's the problem with red and yellow urine, sore throat and dry mouth",cause,2
How to treat OCD,method,5
"I would like to ask, what medicine should I take for frequent urination and waiting for insufficiency of micturition",treatment,7
The left-hand brooch aches and feels painful,disease manifestations,4
"My lumbar disc has been protruding for 2 years. recently, I learn that the wind-chasing and muscle-relieving paste crop well. May I ask if I have central numbness in my legs and feet?",definition,3
"After urinating, I feel tingling inside, and it seems to be bloody, and I feel like I can't urinate all the time",symptoms,6
"receive been suffering from fibrous hemorrhoids for a year,Want to consult what stimulate fibrous hemorrhoids? What should you pay attention to?",ask more,1
How to consider with anal fissure after cesarean section,method,5
Flashin Fish Oil Soft Capsules and Soy Lecithin Soft Capsules are taken together. Is it a big problem? Do I need to see a doctor in time?,ask more,1
"A lot of farts every day, what's the matter! Indigestion?",ask more,1
"Excuse me, what should I do if my period is unstable and there is a pocket-size blood clot?",treatment method,8
What drug do I use and how long does it take?,method,5
What to do with dizziness after cerebral thrombosis?,treatment method,8
Will sitting for a long time cause hemorrhoids?,cause,2
Bone headaches persist and tingling pain when walking. When should I demand anti-bone hyperplasia pill?,usage,9
I do not know why I pee when unity cough,disease manifestations,4
"angstrom few days ago, there was a sudden pain under the fossa for some reason. It finally roadblock, and thursday it suddenly hurts again.",disease manifestations,4
What's the matter with chest pain and tightness,cause,2
Tinnitus referable to hypertension,cause,2
What are the symptoms of hypoplastic hydrocephalus,disease manifestations,4
"hi my throat is sore, and very scratchy, i have also have a cough to accompany this, well the cough started about a week ago, i have no fever. just want to know if this is anyway related to covid 19 my voice is also very hoarse?",cause,2
What is spontaneous pneumothorax (airway medicament),definition,3
"What symptoms is Compound Danshen Tablets specially used to treat, who is it suitable for, how to take it, and are there any contraindications",ask more,1
arse angina pectoris be treated with anti-inflammatory injections?,definition,3
How to reduce the dose of aripiprazole tablets? Can the drug be stopped at the end?,ask more,1
What are the first aid metre for intracranial hypertension syndrome,method,5
What kind of injection for hemorrhoids is quick and effective?,treatment,7
Dry stool with blood,disease manifestations,4
"Constipation, hemorrhoids, blood in the stool, hemorrhoids can't be retracted outside, what should I do with diet treatment? Can hemorrhoid surgery be treated?",ask more,1
How to treat bleeding haemorrhoids?,method,5
How about the recent constipation and prolapse of inner piles?,method,5
"Bye doctor, I suddenly faced a row of little particles on my labia in the past two days, a lump of flesh above the vaginal scuttle, fluent and cushy, and dermatitis in the vulva. I have not had intercourse for more than a month. Is it condyloma acuminatum?",disease manifestations,4
I am prone to insomnia at night when I am 6 months pregnant. I wake up every three or four o'clock. Is there any way to help sleep?,treatment method,8
I often sit for a long time and have difficulty defecation recently. Do I have any hemorrhoids? Does sitting for a long time cause hemorrhoids? What are the reasons?,ask more,1
What does palpitation miserly,definition,3
"excuse me, what's the problem with vaginal itching?",cause,2
"Some time agone, I witness that there are some speck raising in my genitalia. nowadays I describe that it uprise more and it'll be itchy. I have never bang. I suspect that I have condyloma acuminatum. Is there any routes to cure it?",method,5
How does Vantele wreak on ankle sprains?,applicable disease,0
Should there be any steps and render for hip care? How should it be done?,treatment method,8
What's the matter with the leg cramping at soir? The calf cramps almost every day at night. serve any mother acknowledge what is passing on?,symptoms,6
Can Ampicillin Capsules be taken by fry aged 7.5 years? Is the dosage suitable for taking it?,ask more,1
"Anal fistula hemorrhoids, redness, swelling and pain, loose stools, how to treat?",treatment method,8
"The hemangioma found in 3 months, grows on the patients mouth, has it been observed that it has grown a few millimeters recently, how to cure the long hemangioma cancer of the infant's mouth in Inner Mongolia?",treatment method,8
"Can Ginkgo biloba cure stomach flatulence, chest tightness, continuous palpitation, fretfulness, dizziness, inability to fight?",applicable disease,0
There's something hard next to the anus. It hurts. Sometimes it hurts to walk but no blood in the stool. I want to know what to do now...I'm a student,treatment,7
"1 have high blood pressure, can't stand my feet, can't sit still, what medicine can I use to plow it? Can I add Angelica, Poria, and Ginseng to Chinese medicate?",ask more,1
"inner pain around the sacrococcygeal bone, no pain when walking, no abnormal stool, especially painful when pressed by hand.",disease manifestations,4
"Have bear from internal hemorrhoids for seven or eight years. It will be more serious if you work too much or puzzle angry. There will be soy-sized bumps in the inside of the anus, which will trauma after exertion. What remediate can be used to eradicate them?",treatment,7
"Hello, I know that taking Jiuwei Zhenxin Granules can treat anxiety, but how long is a course of treatment?",applicable disease,0
"I'm only 24 years old, and I've had bronchitis repeatedly. How can I therapeutic it? I bring a fate of anti-inflammatory drugs every time, but the next time I catch a cold. Alas.",treatment method,8
What's the matter with that tendon in the pinna? Some ears are uneasy and some have headaches.,symptoms,6
"55-year-old female with enlarged heart and heart failure, how can I relieve my symptoms?",treatment,7
"Hello, fix, what's the matter with frequent urination and urgency? Urgently, thank you",cause,2
"Hello doctor, I would like to know if Lingrui pepper rheumatism cream is effective for chronic arthritis?",applicable disease,0
How should angina pectoris be range,definition,3
"Hello, can a person with heart disease take Qianxi tablet for diarrhea?",applicable disease,0
How much does it cost? bequeath the surgery heal?,ask more,1
"On the third day after unclean sex, there are small flesh-colored spots in the glans groove that are not painful or itchy. Could it be condyloma acuminatum?",definition,3
Is it customary to measure anus 38.fin for a kid,definition,3
"1 am a patient with variant angina pectoris. I have tried many medicines but no effect. I heard from my friends that using nifedipine tablets will have good upshot, compensate? Will there be any adverse reactions?",applicable disease,0
I'm not in good health and often cough with phlegm. I have no energy. What should 1 do if I donjon coughing in COPD,treatment,7
"How should Ikexin Vitamin AD Drops Capsules be taken? Instead, cod liver oil should not be used so early.",usage,9
I wonder if taurine soft capsules can be taken together with Anshen Bunao Liquid? Will there be any adverse effects? Can I drink tea with these two medicines?,ask more,1
"iodine smoked for 7 years and had chronic bronchitis. Now I have difficulty breathing, chest tightness, lethargy, phlegm and asthma. What should I do?;",treatment,7
"The shaver coughs repeatedly, and it has become more serious in the past two days. He doesn't cough at night, and coughing very badly during the day",treatment method,8
What should I do if I get hemorrhoids in nine months of pregnancy,treatment,7
"I always get very spoiled leg hamper when I go to bed at night. Sisters point me, what calcium tablets should pregnant women take?",method,5
"lavatory the bodies reacting when the hemangioma is magnanimous? My enfant had a b-ultrasound today and the doctor said me. There is a large hemangioma on my child's substructure, but I've no reaction at all. intimate Rwanda baby augment on their feet. Are the hemangiomas on it very dangerous?",symptoms,6
"I twisted my foot last week, why hasn't my swelling gone away down after using Yunnan Baiyao aerosol for a week?",applicable disease,0
Patients with high-pitched blood pressure and poor immunity can take Niuhuang Jiangya Pills?,applicable disease,0
"We all also need to remember that serious chronic diseases can cause harm to the body, and this will have some very huge effects on everyone, so when suffering from epilepsy, people also need to understand the most common and effective prevention, then, what are the common steps in the prevention of epilepsy?",definition,3
"Have a headache and fever 386, do you want to take Sanlitong?",applicable disease,0
green stool milk valve,disease manifestations,4
